File,Key,UntranslatedValue,EnglishString,IsDuplicate,OccurrenceCount,DuplicateLocations
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","pageTitle","cyUpload counterclaim files","Upload counterclaim files","FALSE","1","counterClaimUploadFiles.json::pageTitle"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","heading","cyUpload files to support the counterclaim","Upload files to support the counterclaim","FALSE","1","counterClaimUploadFiles.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","guidanceText","cyYou should only upload files that are relevant to the counterclaim.","You should only upload files that are relevant to the counterclaim.","FALSE","1","counterClaimUploadFiles.json::guidanceText"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","guidanceText2","cyAll parties will be able to see any files you upload.","All parties will be able to see any files you upload.","FALSE","1","counterClaimUploadFiles.json::guidanceText2"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","beforeUploadText","cyBefore you upload the file give it a name that tells the court what it is, for example 'Job offer letter'.","Before you upload the file give it a name that tells the court what it is, for example 'Job offer letter'.","FALSE","1","counterClaimUploadFiles.json::beforeUploadText"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","fileTypesText","cyYou can upload the following file types: DOC/DOCX (Word), XLS/XLSM (Excel), PPT/PPTX (PowerPoint), PDF, RTF, TXT, CSV, JPG/JPEG, PNG, BMP, TIF/TIFF.","You can upload the following file types: DOC/DOCX (Word), XLS/XLSM (Excel), PPT/PPTX (PowerPoint), PDF, RTF, TXT, CSV, JPG/JPEG, PNG, BMP, TIF/TIFF.","FALSE","1","counterClaimUploadFiles.json::fileTypesText"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","uploadLabel","cyUpload a file","Upload a file","FALSE","1","counterClaimUploadFiles.json::uploadLabel"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","filesAddedHeading","cyFiles added","Files added","FALSE","1","counterClaimUploadFiles.json::filesAddedHeading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","uploadButton","cyUpload file","Upload file","FALSE","1","counterClaimUploadFiles.json::uploadButton"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","deleteButton","cyRemove","Remove","TRUE","2","counterClaimUploadFiles.json::deleteButton ; uploadDocument.json::deleteButton"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","noFilesUploaded","cyNo files uploaded","No files uploaded","TRUE","2","counterClaimUploadFiles.json::noFilesUploaded ; checkYourAnswersYourResponse.json::rows.counterClaimDocuments.none"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimUploadFiles.json","errors.documents","cySelect a file to support the counterclaim","Select a file to support the counterclaim","FALSE","1","counterClaimUploadFiles.json::errors.documents"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimWhatAreYouClaimingFor.json","pageTitle","cyWhat is the defendant claiming for?","What is the defendant claiming for?","TRUE","2","counterClaimWhatAreYouClaimingFor.json::pageTitle ; counterClaimWhatAreYouClaimingFor.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimWhatAreYouClaimingFor.json","heading","cyWhat is the defendant claiming for?","What is the defendant claiming for?","TRUE","2","counterClaimWhatAreYouClaimingFor.json::pageTitle ; counterClaimWhatAreYouClaimingFor.json::heading"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimWhatAreYouClaimingFor.json","options.paymentOrCompensation","cyA sum of money or compensation","A sum of money or compensation","TRUE","2","counterClaimWhatAreYouClaimingFor.json::options.paymentOrCompensation ; checkYourAnswersYourResponse.json::rows.counterClaimType.options.PAYMENT_OR_COMPENSATION"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimWhatAreYouClaimingFor.json","options.somethingElse","cySomething else","Something else","TRUE","2","counterClaimWhatAreYouClaimingFor.json::options.somethingElse ; checkYourAnswersYourResponse.json::rows.counterClaimType.options.SOMETHING_ELSE"
"src/main/assets/locales/cy/respondToClaim/legalrep/counterClaimWhatAreYouClaimingFor.json","options.both","cyBoth","Both","TRUE","2","counterClaimWhatAreYouClaimingFor.json::options.both ; checkYourAnswersYourResponse.json::rows.counterClaimType.options.BOTH"
